"Geneid","E1_S1_L001.bam","E2_S2_L001.bam","E3_S3_L001.bam","E4_S4_L001.bam","E5_S5_L001.bam","E6_S6_L001.bam","L1_S1_L001.bam","L2_S2_L001.bam","L3_S3_L001.bam","L4_S4_L001.bam","L5_S5_L001.bam","L6_S6_L001.bam"
"txnl4b",595.771023853454,367.102489506537,236.858439764923,469.685234549143,279.861986390853,338.084242102579,509.280345273646,399.022430589797,169.302259547663,472.637078333166,255.707278720437,356.009230123414
"abcb6a",192.70221795799,177.17793764378,225.344487831906,516.895863795062,491.81985130039,406.416957060751,500.469266635694,781.302661294707,620.118741366439,627.691930118355,650.103250984162,629.724869364029
"ugt5b5",21.6789995202739,29.317212703647,12.3363770710898,31.8772624822872,20.8562658835471,25.0553288179967,19.3843730034952,19.5325665323677,35.4353566495108,26.1538304215981,15.1690758562971,19.6789021676259
"ugt5b6",11302.7880091443,4434.54708678209,3866.22057407953,3651.76234765442,2927.63769472303,4179.6843982749,6532.53370217788,2526.67699929413,2470.63181084089,2267.91072370144,1995.81698052138,2769.35823231681
"ugt5b4",1812.20377471327,964.281365665608,902.200376465697,290.123439553981,213.412953226994,356.306299424758,1649.43392102468,1784.43947106416,1352.44944545633,237.252604538783,175.527877765724,434.724838793918
"ugt5b3",288.250401028827,309.105394810192,58.3921848031582,52.8597643693623,24.2514719576129,54.6661719665382,225.56361313158,399.022430589797,61.0275586741575,18.6813074439987,4.33402167322775,78.7156086705036
"ugt5b2",6229.9021214002,1793.44862061006,1812.62500431212,1002.72148441119,513.646176062241,947.221586872576,3445.13174743937,834.319627596848,1133.93141278435,665.054545006352,327.218636328695,712.018460246828
"ugt5b1",313.141104181735,133.202118588309,106.092842811372,96.0352970985361,105.25138829604,133.736884989567,206.179240128085,69.7591661870274,76.7766060739401,54.1757915875961,69.344346771644,119.862404111903
"cyp4v2a",40570.2402874223,21124.9637451105,21654.4538854529,11653.3587403602,16823.2460969961,15447.4237009968,33364.0303704704,14966.1315137649,19009.1002115376,9966.47752137329,14577.4818979015,12827.0662310798
"clockb",46.569702673181,67.557055360578,93.7564657402821,355.492003125253,643.634065755046,418.45653064862,98.6840807450664,274.851114776888,269.702436721277,506.263431732364,1209.19204683054,551.009260693525
"dnajb14",208.760736121156,197.572520394143,123.363770710898,162.210879973158,185.281245756163,226.799534884983,301.338889417971,449.249030244456,330.729995395434,164.395505507188,318.55059298224,236.146826011511
"nr3c2",41.7521472242313,84.127653845248,24.6727541421795,85.5440461549986,78.5747691426658,134.713066631826,42.2931774621713,75.3398994819896,29.5294638745923,29.8900919103979,34.672173385822,93.0275375196861
"txna",18415.1057036105,14167.224373682,16724.8376078454,8961.54585403945,8582.59592579921,9121.76665915456,13925.0286794199,10289.4770125865,12341.3472686546,8386.038911611,7957.26379204615,8220.41413274919
"dnaja1",313.141104181735,105.796898017509,154.615925957658,168.66703439995,155.209420528723,158.46681992681,274.905653504114,191.140115352455,124.023748273288,153.186721040789,147.356736889743,250.458754860693
"cyp2u1",2713.08664366687,2215.3615512582,1203.20797700029,7100.96285016823,8969.16438880355,8586.49372531554,1679.39158839372,1264.03609130894,639.805050616167,4677.79938397727,6201.98501438891,5876.83578369555
"prdx2",172351.25788981,82062.7023417738,71991.8068863275,40711.2992863975,33399.6122094636,46051.3689735971,157170.258528067,61071.359630095,72587.3594655979,39742.6134563627,29683.7144399369,43338.3095464307
"abca1a",2544.47220295363,2868.62552998077,11355.2238813691,32096.7717327981,28699.6769440783,17019.7269327963,8581.9905933656,7599.56356441476,32685.1792473238,33686.1335830184,34078.4124165898,18993.7185739713
