"","X","Geneid","E1_cpm","E2_cpm","E3_cpm","CPM_mean_E13","L1_CPM","L2_CPM","L3_CPM","CPM_mean_UN13","FC_E1","FC_E2","FC_E3","FC_UN1","FC_UN2","FC_UN3","mean_FC_un","sd_FC_un","mean_FC_e","sd_FC_e"
"1",1,"txnl4b",70.2843665687769,50.0863772618978,27.4550825792639,49.2752754699795,4.3937826607045,4.97753227211765,1.59563132470686,3.65564875250967,0.015210840286177,0.0101420949764936,0.00568305148292124,0.017258883248731,0.0164207383590744,0.00572913196988876,0.0131362511925647,0.00642842773142984,0.0103453289151973,0.00476714462705321
"2",2,"abcb6a",22.7334878389575,24.173633470152,26.1204605094386,24.3425272728494,4.31776565965425,9.74621703631428,5.84446357305418,6.6361487563409,0.00491994834054243,0.00489496945046044,0.0054067920358348,0.0169602866527322,0.0321524946890968,0.0209846112850576,0.0233657975422955,0.00787104391099361,0.00507390327561256,0.000288560533076091
"3",3,"ugt5b6",1333.41378462085,605.036480882438,448.147025017777,795.532430173688,56.359004578656,31.5185697370807,23.2850850291524,37.0542197816297,0.288575469957565,0.12251509869174,0.0927639757681,0.221379516273515,0.103978871217776,0.0836053560722137,0.136321247854501,0.0743636456857603,0.167951514805802,0.105517231986749
"4",4,"ugt5b4",213.789508552196,131.563695828561,104.577172185599,149.976792188785,14.230382596607,22.2596635525821,12.746496745042,16.4121809647437,0.0462680141858511,0.0266406071170742,0.0216469009609882,0.0558972827709766,0.0734340012631337,0.0457664379455067,0.058365907326539,0.0139980032640719,0.0315185074213045,0.0130151925702767
"5",5,"ugt5b3",34.0055088924406,42.1734252986465,6.76844049697131,27.6491248960195,1.94603522688642,4.97753227211765,0.575169430998983,2.49957897666768,0.00735942272606139,0.00853978483263782,0.00140103005308128,0.00764407285756942,0.0164207383590744,0.00206515222170408,0.00870998781278265,0.00723690848053749,0.0057667458705935,0.00382660680304597
"6",6,"ugt5b2",734.954717260296,244.69282224823,210.107645849645,396.585061786057,29.7226474106481,10.4075674780642,10.6870191050134,16.9390779979086,0.159057829892786,0.0495483598330781,0.0434911300984668,0.116751269035533,0.0343342711144285,0.0383718606355341,0.0631524669284985,0.0464618039121064,0.0840324399414437,0.0650444414306689
"7",7,"ugt5b1",36.9419177383059,18.1737028606539,12.297589071962,22.4710698903073,1.77879782457587,0.870197949670918,0.723600251901946,1.12419867538291,0.00799491605338144,0.00368003098973466,0.00254553347672515,0.00698716034637205,0.00287075845438364,0.00259809473053094,0.00415200451042888,0.00245909898888562,0.00474016017328042,0.00287521269318382
"8",8,"cyp4v2a",4786.15697302852,2882.22753597719,2510.04279275007,3392.80910058526,287.84597617688,186.692268122399,179.156000829877,217.898081709719,1.0358131239622,0.583628264046625,0.519565088699016,1.13066587040908,0.615892518803468,0.643261608154021,0.796606665788856,0.289627227495261,0.713002158902614,0.28139156345017
"9",9,"clockb",5.49392622774806,9.21728470444646,10.867636854292,8.52628259549551,0.85139041176281,3.42857992170342,2.54187780796325,2.27394938047649,0.00118898751563109,0.00186642720053528,0.00224954121198967,0.00334428187518663,0.0113107883102716,0.00912664046365999,0.00792723688303939,0.00411645878237188,0.00176831864271868,0.00053704050364251
"10",10,"dnajb14",24.6279451588706,26.9562099847019,14.2995221767,21.9612257734242,2.59978143591858,5.60407479588071,3.11704723896223,3.77363449025384,0.00532994403558763,0.00545841917137675,0.00295992264735482,0.0102120035831592,0.0184876844462307,0.0111917926853641,0.0132971602382513,0.00452174223462757,0.00458276195143974,0.00140688735167074
"11",11,"nr3c2",4.92558903177412,11.4781281225182,2.85990443533999,6.4212071965441,0.364881605041204,0.939813785644592,0.278307789193056,0.527667726626284,0.00106598880711753,0.00232423009877977,0.000591984529470963,0.00143326366079427,0.00310041913073434,0.000999267204050361,0.00184431666519299,0.00110924897298616,0.00132740114512275,0.000895221193864131
"12",12,"txna",2172.46893161037,1932.93416693529,1938.63388656914,2014.67899503827,120.137268459816,128.35419757646,116.314102030085,121.60185602212,0.470162563293085,0.391403870195271,0.401286579710718,0.471902060316511,0.423436872021586,0.417627073479449,0.437655335272515,0.0298004542239597,0.420951004399691,0.0429039640753641
"13",13,"dnaja1",36.9419177383059,14.4346156692275,17.9220677947973,23.0995337341102,2.37173043276783,2.38434238209832,1.16889271461084,1.97498850982566,0.00799491605338144,0.00292289542725336,0.00370976971801804,0.00931621379516275,0.0078658781650112,0.00419692225701154,0.00712633807239516,0.00263855568911982,0.00487586039955095,0.00272968384911799
"14",14,"cyp2u1",320.068564199322,302.25737389298,139.468006296747,253.93131479635,14.4888404001778,15.767986848037,6.03000209918288,12.0956097824659,0.0692687726778869,0.0612047259345342,0.028869112220534,0.0569125111973723,0.0520181431934315,0.0216507894210912,0.0435271479372983,0.0191028795208137,0.053114203610985,0.0213804947292675
"15",15,"prdx2",20332.6420774316,11196.3922504201,8344.81982173072,13291.2847165275,1355.97606133417,761.823497018902,684.117653541758,933.972403964943,4.40036079621165,2.26718081453701,1.72733192572567,5.32630636010752,2.51323419647471,2.456332023183,3.43195752658841,1.64080089944598,2.79829117882478,1.41344596638969
"16",16,"abca1a",300.176762340234,391.386777874656,1316.22335129131,669.262297168733,74.0405590229444,94.7993646371498,308.049614931487,158.963179530527,0.0649638178799122,0.0792527248076348,0.272451013280186,0.290833084502837,0.312740426020554,1.10605555925654,0.569876356593311,0.464473988431567,0.138889185322578,0.115888371421945
"17",17,"dnajb1b",17.6184530751921,24.5214555344708,10.6769765586026,17.6056283894218,1.82440802520602,2.90646115190087,1.85538526128704,2.19541814613131,0.00381295996392039,0.00496540066557499,0.00221007557669159,0.00716631830397134,0.00958833323764138,0.00666178136033574,0.00780547763398282,0.00156447114370826,0.00366281206872899,0.00138378552499308
"18",18,"cyp3a65",1468.58331439665,10054.4924132617,1502.3077998841,4341.79450918082,75.6217126447896,673.098114070455,88.0194767954572,278.913101170234,0.31782866279904,2.03595513531598,0.310969473331097,0.297043893699612,2.22053166446575,0.316034907734328,0.944536821966563,1.10508474481232,0.88825109048204,0.993946775746158
"19",19,"abcf3",104.005706863231,141.824446725964,126.693766485562,124.174640024919,4.89549486763616,8.02322509596586,6.75360235108483,6.55744077156228,0.0225087636579817,0.0287183279629532,0.0262249146555637,0.0192296207823231,0.0264683929494172,0.0242488841516221,0.0233156326277875,0.00370852725847185,0.0258173354254996,0.00312478204615598
"20",20,"slc22a23",89.6078312318908,98.0858221378831,158.72469616137,115.472783177048,14.0935519947165,21.1632141359967,39.2970598340595,24.8512753215909,0.0193927963756381,0.0198616026622999,0.0328551413856385,0.0553598088981786,0.0698168456106101,0.141096529211911,0.0887577279068999,0.0458994996613277,0.0240365134745255,0.00764075215601184
"21",21,"cyp8b1.2",66.7796205269376,46.173379038312,54.9101651585278,55.9543882412591,4.241748658604,2.95867302888112,3.06138568112362,3.42060245620291,0.0144523482503434,0.00934974380645502,0.0113661029658425,0.0166616900567334,0.00976057874490439,0.010991939244554,0.0124714026820639,0.00368075309980987,0.0117227316742136,0.00256992821970248
"22",22,"cyp8b1.1",3100.46884976982,1144.85632470511,1066.74435438182,1770.68984295225,180.479563893506,76.3685720631198,69.5769472982641,108.808361084963,0.670998954510979,0.231824344549504,0.22081022949267,0.708928038220366,0.251937761956709,0.249816801012591,0.403560867063222,0.26445785398475,0.374544509517717,0.256796137334303
"23",23,"cyp8b1.3",13.1664783733962,11.7389946707573,4.95716768792265,9.95421357735872,0.790576810922609,0.348079179868367,0.204092378741575,0.447582789844184,0.00284947008056415,0.00237705351011569,0.00102610651774967,0.00310540459838758,0.00114830338175346,0.000732795949636934,0.00166216797659266,0.00126702824214914,0.00208421003614317,0.000946298919864174
"24",24,"aldh9a1b",308.985988877831,329.996183522399,543.381842714598,394.121338371609,16.966994634416,20.0145528424311,32.9887499456836,23.3234324741769,0.0668702978618726,0.0668216153399186,0.112477060599483,0.0666467602269335,0.0660274444508238,0.11844647258677,0.083706892421509,0.0300869524969141,0.0820563246004247,0.026345141421907
"25",25,"prdx1",116.130233710675,194.867311534571,146.236446793718,152.411330679655,5.41241047477786,11.0863218788075,7.34732563469668,7.94868599609401,0.025132736106271,0.0394590882679204,0.0302701422736152,0.021260077635115,0.0365734627088476,0.0263806541869295,0.028071398176964,0.00779544110579914,0.0316206555492689,0.00725803045913189
"26",26,"mtf2",1.70501158792181,2.43475445023114,2.28792354827199,2.14256319547498,0.182440802520602,0.469906892822296,0.0742154104514817,0.24218770193146,0.000368996125540682,0.000493018505801771,0.00047358762357677,0.000716631830397134,0.00155020956536717,0.00026647125441343,0.000844437550059244,0.000651342259673324,0.000445200751639741,6.67064357853387e-05
"27",27,"abcd3b",40.4466637801452,35.1300284961922,27.2644222835746,34.2803715199707,1.94603522688642,1.37491276048005,1.41009279857815,1.57701359531487,0.00875340808921507,0.00711355272656842,0.00564358584762318,0.00764407285756942,0.00453579835792616,0.00506295383385516,0.00574760834978358,0.00166340206983129,0.00717018222113556,0.00155568434083399
"28",28,"tfa",409269.276553164,445031.722676599,427221.008934246,427174.002721336,24379.6252544289,29373.7406386498,30624.4325072255,28125.9328001014,88.5734609786599,90.1154015459653,88.4324052331432,95.7637503732458,96.9031406097491,109.957364599294,100.874751860763,7.88637706087857,89.0404225859228,0.933626801369982
"29",29,"dnajc1",310.596277599757,315.822434401411,517.07072190947,381.163144636879,17.2406558381969,20.049360760418,32.5805651882005,23.2901939289385,0.067218794202661,0.0639515433240012,0.10703080292835,0.0677217079725292,0.0661422747889993,0.116980880687496,0.0836149544830081,0.028906529122463,0.0794003801516708,0.0239843475873235
"30",30,"cyp7a1",121.24526847444,18.7823914732117,62.6319071339458,67.5531890271992,4.83468126679596,0.591734605776224,3.41390888076816,2.94677491778011,0.026239724482893,0.0038032856161851,0.0129644611954141,0.0189907435055241,0.00195211574898088,0.0122576777030178,0.0110668456525076,0.00858150742503336,0.0143358237648307,0.0112809097030106
"31",31,"dnajb6a",61.0015257012026,82.2599182113807,105.62580381189,82.9624159081578,12.6492289747617,13.5054721788926,13.9896048701043,13.3814353412529,0.0132018613804555,0.0166569823745884,0.0218639619551275,0.0496864735742011,0.044554171212034,0.0502298314569316,0.0481568254143889,0.0031317961976301,0.0172409352367238,0.00436047558189817
"32",32,"abcf2a",68.5793549808551,186.606537507001,308.869679016719,188.018523834858,4.37857926049445,12.6178702702283,18.7022834337734,11.8995776548321,0.0148418441606363,0.0377863469089501,0.063934329182864,0.0171991639295312,0.0416259975885628,0.0671507561121844,0.0419919725434261,0.0249778070223592,0.0388541734174834,0.0245636563138238
"33",33,"keap1a",369.60862311505,1443.98330001923,471.312250944031,761.63472469277,19.2018944652934,74.9066395076726,23.6561620814098,39.2548986847919,0.0799901601033189,0.292395189548009,0.0975590504568148,0.0754255001492985,0.247114887753344,0.0849377123442809,0.135826033415641,0.0964962557307766,0.156648133369381,0.117888141570456
"34",34,"cyp7b1",102.300695275309,10.7824839938808,47.0930930352652,53.3920907681517,13.3789921848442,6.03917377071617,10.4829267262718,9.96703089394406,0.022139767532441,0.00218336766855071,0.00974801191862186,0.05255300089579,0.0199230636734225,0.037639064685897,0.0367050430850365,0.0163350083577287,0.0113570490398712,0.0100750297381714
"35",35,"slc39a6",25.3857280868359,50.9559324226946,56.7214379675765,44.3543661590357,1.48993322058492,2.43655425907857,3.26547805986519,2.39732184650956,0.00549394231360572,0.0103181730142799,0.0117410265011741,0.00585249328157661,0.0080381236722742,0.0117247351941909,0.0085384507160139,0.00296792042229724,0.00918438060968658,0.00327423718202834
"36",36,"slco5a1a",14.5873213633311,30.9561637243674,28.4083840577106,24.6506230484697,1.91562842646632,6.96158359736734,5.9557866887314,4.94433290418835,0.00315696685184807,0.00626837814519396,0.00588037965941157,0.0075246342191699,0.0229660676350691,0.0213843181666777,0.0172916733403056,0.00849539715025351,0.00510190821881787,0.00169550387700976
"37",37,"per2",31.4479915105579,153.650396912801,95.9974588795791,93.698615767646,2.55417123528843,14.0972067846689,7.94104891830854,8.19747564608862,0.00680592853775037,0.0311129892768475,0.0198709473725753,0.0100328456255599,0.0465062869610151,0.028512424222237,0.0283505189362707,0.0182372596818695,0.0192632883957244,0.0121649183111787
"38",38,"hsd11b1lb",259.06703849812,436.255824171773,364.542485358004,353.288449342632,33.9035824684119,88.9516344153613,84.4942447990119,69.116487227595,0.0560669112974315,0.0883383515574103,0.0754582946898987,0.133174081815467,0.293448929207096,0.30337752314969,0.243333511390751,0.0955299386982069,0.0732878525149135,0.016244832364157
"39",39,"gpx4b",3652.13482132852,4639.1637383672,1405.35703952607,3232.21853307393,197.993880935483,299.278478850822,84.5684602094633,193.946939998589,0.790389700908141,0.93939393939394,0.290901197782031,0.777724693938488,0.987311247631622,0.303643994404103,0.689559978658071,0.350257035688468,0.673561612694704,0.339664997648474
"40",40,"txn2",160.839426460624,152.867797268084,193.329539828983,169.01225451923,13.8807043917758,15.5243314221292,17.9230216240328,15.7760191459793,0.0348086345093376,0.0309545190428398,0.040018154192237,0.0545237384293819,0.0512143308262043,0.0643528079408432,0.0566969590654765,0.00683352479858187,0.0352604359148048,0.00454867716076153
"41",41,"cyp2k22",4482.75963324443,9919.62440782207,9853.22875107687,8085.20426404779,196.397523913428,493.489257258378,522.235289494464,404.04069022209,0.970152313400711,2.00864543165531,2.03956429938631,0.771454165422514,1.62800711948097,1.8750915994937,1.42485096146573,0.579187547237891,1.67278734814744,0.608696137769576
"42",42,"dnaja3a",561.327703890259,534.776423890054,498.767333523294,531.623820434536,32.1855982446762,43.2488380986446,36.0130279215815,37.1491547549674,0.121481724441894,0.108287993238603,0.103242101939736,0.126425798745894,0.142676695182867,0.129305176204117,0.132802556710959,0.00867160086480775,0.111003939873411,0.00941823931781556
