"","Geneid","Length","E1_cpm","E2_cpm","E3_cpm","E4_cpm","E5_cpm","E6_cpm","CPM_mean","CPM_stdev"
"1","rpl24",635,0.568337195973937,0.869555160796836,0.953301478446664,6.14408789659861,11.824160160679,9.15371262629647,4.91885908646525,4.86143812489949
"2","nfkbiz",2396,0.189445731991312,0,0,0,0,0,0.0315742886652187,0.0773408962211285
"3","hikeshi",865,0,0,0,0,0.16197479672163,0,0.026995799453605,0.0661259338598372
"4","tmem39a",2292,0,0,0,0,0,0.273245153023775,0.0455408588372959,0.111551866599493
"5","pou2f1a",3029,0,0.173911032159367,0,0,0,0,0.0289851720265612,0.0709988815718676
"6","creg1",1491,0.189445731991312,0,0.381320591378666,0.180708467547018,0,0.136622576511888,0.148016227904814,0.142241720388934
"7","h2af1al",559,0,0,0,0.180708467547018,0.16197479672163,0,0.057113877378108,0.0886785375175253
"8","f7l",2862,0.189445731991312,0.347822064318734,0.381320591378666,0,0,0,0.153098064614785,0.179800535523834
"9","f7",1809,0,0,0,0.542125402641054,0.64789918688652,0.136622576511888,0.221107861006577,0.296312983102754
"10","f7i",1785,0.568337195973937,0.521733096478102,0.953301478446664,1.08425080528211,0.64789918688652,0.273245153023775,0.674794486015184,0.297303477857848
"11","f10",2786,0.189445731991312,0,0.762641182757331,1.08425080528211,0.971848780329781,0.409867729535663,0.569675704982699,0.437815080192566
"12","prozb",1520,0,0,0.381320591378666,0.180708467547018,0.32394959344326,0,0.147663108728157,0.174457972399681
"13","pcid2",1625,0,0,0,0,0,0.136622576511888,0.0227704294186479,0.0557759332997464
"14","cul4a",3373,0.189445731991312,0,0,0,0,0.0683112882559438,0.0429595033745427,0.0767893272425104
"15","lamp1a",2979,0.189445731991312,0,0,0,0,0,0.0315742886652187,0.0773408962211285
"16","dcun1d2b",1853,0,0,0,0,0.48592439016489,0,0.0809873983608151,0.198377801579512
"17","gas6",5857,0,0,0,0,0,0.136622576511888,0.0227704294186479,0.0557759332997464
"18","pros1",2565,0,0,0.190660295689333,0,0,0,0.0317767159482221,0.0778367397745047
"19","ercc5",3347,0,0,0,0.361416935094036,0,0.683112882559438,0.174088302942246,0.288244683546311
"20","blzf1",3164,0,0,0,0,0.16197479672163,0,0.026995799453605,0.0661259338598372
"21","txnl4b",3661,70.2843665687769,50.0863772618978,27.4550825792639,105.172328112365,46.7297288541903,70.9754284979256,61.7838853124032,26.7627563403981
"22","mrpl16",2132,0.189445731991312,0,0,0.361416935094036,0,0.136622576511888,0.114580873932873,0.145880056709553
"23","mrpl39",1235,0,0.173911032159367,0,0,0,0,0.0289851720265612,0.0709988815718676
"24","atp5pf",1242,1.32612012393919,0.869555160796836,1.52528236551466,0.361416935094036,0.809873983608151,1.63947091814265,1.08861991451592,0.490923641187631
"25","appa",5919,0,0.173911032159367,0,0.180708467547018,0,0,0.0591032499510642,0.0915875891387696
"26","hemk2",2517,0,0,0,0,0.16197479672163,0,0.026995799453605,0.0661259338598372
"27","LOC100332351",1183,1.5155658559305,0.869555160796836,0.476650739223332,0.90354233773509,0.64789918688652,0.409867729535663,0.80384683501799,0.40184505264716
"28","wu:fa56d06",2195,0,0,0,0,0,0.54649030604755,0.0910817176745917,0.223103733198986
"29","sonb",7591,0,0,0,0,0,0.273245153023775,0.0455408588372959,0.111551866599493
"30","atp1a1a.1",3477,0,0,0,0.180708467547018,1.29579837377304,0.273245153023775,0.291625332390639,0.50520092684304
"31","kpnb3",4189,0,0,0.190660295689333,0,0.32394959344326,0.136622576511888,0.10853874427408,0.133623696854696
"32","farp1",8285,0,0,0.190660295689333,0,0,0,0.0317767159482221,0.0778367397745047
"33","ndfip2",5387,0,0,0,0,0,0.136622576511888,0.0227704294186479,0.0557759332997464
"34","tuba8l2",1608,0,0.347822064318734,0.381320591378666,0.180708467547018,0.971848780329781,0,0.3136166505957,0.361496545688283
"35","atic",2912,0,0,0,0.361416935094036,0,0,0.060236155849006,0.147547845896829
"36","fn1b",8613,0,0.695644128637469,2.85990443533999,2.71062701320527,11.6621853639574,2.45920637721398,3.39792788639235,4.21400647555264
"37","abcb6a",7025,22.7334878389575,24.173633470152,26.1204605094386,115.743773463865,82.1212219378665,85.3207990316738,59.3688960419923,40.1387954823142
"38","cnppd1",2347,0,0,0,0,0,0.0683112882559438,0.011385214709324,0.0278879666498732
"39","retreg2",2507,0,0,0,0.180708467547018,0,0,0.030118077924503,0.0737739229484146
"40","fastkd2",2549,0,0,0,0,0.16197479672163,0.136622576511888,0.049766228872253,0.077513222057617
"41","lancl1",2865,0,0,0,0,0,0.0683112882559438,0.011385214709324,0.0278879666498732
"42","mylz3",966,0,0,0,0,0,0.0683112882559438,0.011385214709324,0.0278879666498732
"43","pcnp",1529,0,0,0,0,0,0.136622576511888,0.0227704294186479,0.0557759332997464
"44","arglu1b",1862,0,0,0,0.180708467547018,0,0,0.030118077924503,0.0737739229484146
"45","actb1",1730,0,0.869555160796836,0,0,0.32394959344326,0,0.198917459040016,0.353174343262601
"46","abcg2b",3461,0.378891463982625,16.1737259908212,0,0.180708467547018,0.16197479672163,1.77609349465454,3.11189903562116,6.43184074751565
"47","hapstr1b",3481,0,0.173911032159367,0.381320591378666,0.180708467547018,0.16197479672163,0,0.149652481301113,0.141539135630281
"48","zgc:136472",1709,0,0.347822064318734,0,0,0,0,0.0579703440531224,0.141997763143735
"49","gaa2",5792,0,0,0,0,0.16197479672163,0.273245153023775,0.0725366582909009,0.117753426827362
"50","ugt5b5",1742,2.55751738188272,3.99995373966545,1.42995221767,7.13798446810721,3.48245812951505,5.25996919570767,3.97797252209135,2.0191735405552
"51","ugt5b6",2038,1333.41378462085,605.036480882438,448.147025017777,817.705815650257,488.83993650588,877.458497647598,761.766923387467,328.847942493139
"52","ugt5b4",2310,213.789508552196,131.563695828561,104.577172185599,64.964694083153,35.6344552787586,74.8008606402585,104.221731094754,63.029713957668
"53","ugt5b3",2089,34.0055088924406,42.1734252986465,6.76844049697131,11.8364046243297,4.04936991804075,11.4762964269986,18.3849076095712,15.7541010989832
"54","ugt5b2",2019,734.954717260296,244.69282224823,210.107645849645,224.53027092717,85.7656548641031,198.854160113052,283.150878543749,228.229833070976
"55","ugt5b1",2289,36.9419177383059,18.1737028606539,12.297589071962,21.5043076380952,17.5742654442969,28.0759394731929,22.4279537044178,8.80555784526717
