"","Geneid","Length","E1_cpm","E2_cpm","E3_cpm","E4_cpm","E5_cpm","E6_cpm","CPM_mean","CPM_stdev"
"1","LOC141383674",3729,0,0,0,0,0,0,0,0
"2","rpl24",635,0.568337195973937,0.869555160796836,0.953301478446664,6.14408789659861,11.824160160679,9.15371262629647,4.91885908646525,4.86143812489949
"3","cep97",2300,0,0,0,0,0,0,0,0
"4","nfkbiz",2396,0.189445731991312,0,0,0,0,0,0.0315742886652187,0.0773408962211285
"5","eed",1563,0,0,0,0,0,0,0,0
"6","hikeshi",865,0,0,0,0,0.16197479672163,0,0.026995799453605,0.0661259338598372
"7","tmem39a",2292,0,0,0,0,0,0.273245153023775,0.0455408588372959,0.111551866599493
"8","ildr1a",2207,0,0,0,0,0,0,0,0
"9","LOC100332762",3455,0,0,0,0,0,0,0,0
"10","gpa33a",2977,0,0,0,0,0,0,0,0
"11","crfa4",4280,0,0,0,0,0,0,0,0
"12","dusp27",3511,0,0,0,0,0,0,0,0
"13","pou2f1a",3029,0,0.173911032159367,0,0,0,0,0.0289851720265612,0.0709988815718676
"14","wu:fj30f06",1684,0,0,0,0,0,0,0,0
"15","cd247",470,0,0,0,0,0,0,0,0
"16","creg1",1491,0.189445731991312,0,0.381320591378666,0.180708467547018,0,0.136622576511888,0.148016227904814,0.142241720388934
"17","h2af1al",559,0,0,0,0.180708467547018,0.16197479672163,0,0.057113877378108,0.0886785375175253
"18","setdb2",2461,0,0,0,0,0,0,0,0
"19","LOC101885776",2490,0,0,0,0,0,0,0,0
"20","f7l",2862,0.189445731991312,0.347822064318734,0.381320591378666,0,0,0,0.153098064614785,0.179800535523834
"21","f7",1809,0,0,0,0.542125402641054,0.64789918688652,0.136622576511888,0.221107861006577,0.296312983102754
"22","f7i",1785,0.568337195973937,0.521733096478102,0.953301478446664,1.08425080528211,0.64789918688652,0.273245153023775,0.674794486015184,0.297303477857848
"23","f10",2786,0.189445731991312,0,0.762641182757331,1.08425080528211,0.971848780329781,0.409867729535663,0.569675704982699,0.437815080192566
"24","prozb",1520,0,0,0.381320591378666,0.180708467547018,0.32394959344326,0,0.147663108728157,0.174457972399681
"25","pcid2",1625,0,0,0,0,0,0.136622576511888,0.0227704294186479,0.0557759332997464
"26","cul4a",3373,0.189445731991312,0,0,0,0,0.0683112882559438,0.0429595033745427,0.0767893272425104
"27","lamp1a",2979,0.189445731991312,0,0,0,0,0,0.0315742886652187,0.0773408962211285
"28","grtp1a",1696,0,0,0,0,0,0,0,0
"29","adprhl1",4669,0,0,0,0,0,0,0,0
"30","LOC141383747",632,0,0,0,0,0,0,0,0
"31","dcun1d2b",1853,0,0,0,0,0.48592439016489,0,0.0809873983608151,0.198377801579512
"32","tmco3",3494,0,0,0,0,0,0,0,0
"33","tfdp1b",1776,0,0,0,0,0,0,0,0
"34","grk1a",4091,0,0,0,0,0,0,0,0
"35","cenpe",8496,0,0,0,0,0,0,0,0
"36","tmem255b",5781,0,0,0,0,0,0,0,0
"37","gas6",5857,0,0,0,0,0,0.136622576511888,0.0227704294186479,0.0557759332997464
"38","LOC141383826",1626,0,0,0,0,0,0,0,0
"39","pros1",2565,0,0,0.190660295689333,0,0,0,0.0317767159482221,0.0778367397745047
"40","rasa3",4721,0,0,0,0,0,0,0,0
"41","tpp2",5436,0,0,0,0,0,0,0,0
"42","mettl21ca",6010,0,0,0,0,0,0,0,0
"43","mettl21e",1600,0,0,0,0,0,0,0,0
"44","ercc5",3347,0,0,0,0.361416935094036,0,0.683112882559438,0.174088302942246,0.288244683546311
"45","blzf1",3164,0,0,0,0,0.16197479672163,0,0.026995799453605,0.0661259338598372
"46","trmt10c",1547,0,0,0,0,0,0,0,0
"47","txnl4b",3661,70.2843665687769,50.0863772618978,27.4550825792639,105.172328112365,46.7297288541903,70.9754284979256,61.7838853124032,26.7627563403981
"48","si:ch73-41e3.7",2180,0,0,0,0,0,0,0,0
"49","mrpl16",2132,0.189445731991312,0,0,0.361416935094036,0,0.136622576511888,0.114580873932873,0.145880056709553
"50","cenpq",949,0,0,0,0,0,0,0,0
"51","LOC101885604",1539,0,0,0,0,0,0,0,0
"52","mir155",78,0,0,0,0,0,0,0,0
"53","mrpl39",1235,0,0.173911032159367,0,0,0,0,0.0289851720265612,0.0709988815718676
"54","jam2a",1485,0,0,0,0,0,0,0,0
"55","atp5pf",1242,1.32612012393919,0.869555160796836,1.52528236551466,0.361416935094036,0.809873983608151,1.63947091814265,1.08861991451592,0.490923641187631
"56","appa",5919,0,0.173911032159367,0,0.180708467547018,0,0,0.0591032499510642,0.0915875891387696
"57","LOC141383918",3392,0,0,0,0,0,0,0,0
"58","cyyr1",2928,0,0,0,0,0,0,0,0
"59","adamts1",4646,0,0,0,0,0,0,0,0
"60","adamts5",8014,0,0,0,0,0,0,0,0
"61","LOC137495378",1225,0,0,0,0,0,0,0,0
"62","hemk2",2517,0,0,0,0,0.16197479672163,0,0.026995799453605,0.0661259338598372
"63","gart",3585,0,0,0,0,0,0,0,0
"64","LOC100332351",1183,1.5155658559305,0.869555160796836,0.476650739223332,0.90354233773509,0.64789918688652,0.409867729535663,0.80384683501799,0.40184505264716
"65","LOC101882330",254,0,0,0,0,0,0,0,0
"66","zgc:152904",3988,0,0,0,0,0,0,0,0
"67","LOC141384273",185,0,0,0,0,0,0,0,0
"68","LOC137495379",381,0,0,0,0,0,0,0,0
"69","LOC141384236",4465,0,0,0,0,0,0,0,0
"70","wu:fa56d06",2195,0,0,0,0,0,0.54649030604755,0.0910817176745917,0.223103733198986
"71","sonb",7591,0,0,0,0,0,0.273245153023775,0.0455408588372959,0.111551866599493
"72","LOC795531",2345,0,0,0,0,0,0,0,0
"73","donson",3281,0,0,0,0,0,0,0,0
"74","runx1",8180,0,0,0,0,0,0,0,0
"75","mir459",81,0,0,0,0,0,0,0,0
"76","urp2",1056,0,0,0,0,0,0,0,0
"77","LOC100333907",6826,0,0,0,0,0,0,0,0
"78","LOC141384037",4556,0,0,0,0,0,0,0,0
"79","rcan1b",4893,0,0,0,0,0,0,0,0
"80","wu:fk30a06",424,0,0,0,0,0,0,0,0
"81","LOC137495381",5987,0,0,0,0,0,0,0,0
"82","atp1a1a.4",4022,0,0,0,0,0,0,0,0
"83","atp1a1a.1",3477,0,0,0,0.180708467547018,1.29579837377304,0.273245153023775,0.291625332390639,0.50520092684304
"84","LOC108187381",3229,0,0,0,0,0,0,0,0
"85","atp1a1a.2",3428,0,0,0,0,0,0,0,0
"86","atp1a1a.3",3267,0,0,0,0,0,0,0,0
"87","atp1a1a.5",4939,0,0,0,0,0,0,0,0
"88","si:ch211-132g1.3",3541,0,0,0,0,0,0,0,0
"89","LOC141384207",1763,0,0,0,0,0,0,0,0
"90","si:ch211-132g1.4",3680,0,0,0,0,0,0,0,0
"91","cd2",5949,0,0,0,0,0,0,0,0
"92","ptgfrnb",3805,0,0,0,0,0,0,0,0
"93","slc5a3a",4594,0,0,0,0,0,0,0,0
"94","oxgr1a.1",1287,0,0,0,0,0,0,0,0
"95","oxgr1a.3",3355,0,0,0,0,0,0,0,0
"96","oxgr1a.2",2970,0,0,0,0,0,0,0,0
"97","mbnl2",4361,0,0,0,0,0,0,0,0
"98","rap2ab",552,0,0,0,0,0,0,0,0
"99","LOC141384284",681,0,0,0,0,0,0,0,0
"100","LOC137495389",767,0,0,0,0,0,0,0,0
"101","kpnb3",4189,0,0,0.190660295689333,0,0.32394959344326,0.136622576511888,0.10853874427408,0.133623696854696
"102","LOC137496068",138,0,0,0,0,0,0,0,0
