target,probe
NM_001080692.1:256-1851,probe_cbe65d8bfa230ac46b27a0e18a44af3d2c5b5c93fc47c6ede3adca55e4bdd1d8
NM_001077535.1:123-1703,probe_b4afeb2573d0a521769b982c969be1c6f8547bed166b82d382fca45ee802d44d
XM_685413.8:250-2730,probe_ec25c28d6fb19168554f622eebcd7fcbcf5065d8e4a46bf87123f1f68b23b138
XM_682056.7:371-1252,probe_fa4e4d0e90a48e49dd80901cb1a933e3fa9852494d07f2f18a96c32c193877d2
XM_021468042.1:155-2728,probe_fe477ba2fb2c59ea21715cd95f2ba55330a14a4c12fdda5ed0dc9eda2288e5a2
XM_021468041.1:155-2785,probe_fe477ba2fb2c59ea21715cd95f2ba55330a14a4c12fdda5ed0dc9eda2288e5a2
NM_213186.1:123-2756,probe_fe477ba2fb2c59ea21715cd95f2ba55330a14a4c12fdda5ed0dc9eda2288e5a2
XM_003199465.5:235-4281,probe_d20c96a318e19d193de60e84856858df35e74a0472f64a7f90ef1068f183f8cc
NM_212659.1:56-1171,probe_ebf3441f4bce6caeda672477e04d7152612fc273dc0de7ff1e6c7af914b1353c
NM_001082936.1:1-1479,probe_8f1210a08823ceb2b076c40d7cf1cb9b8c39a2eb0ab10c446e37fd96f2a59334
XM_021468529.1:148-945,probe_8f1210a08823ceb2b076c40d7cf1cb9b8c39a2eb0ab10c446e37fd96f2a59334
NM_200044.1:247-1884,probe_e6857ab6511930b7a1417739a23eff3e6473bf0d25a6373b0dd8e0b639502286
NM_001024393.1:30-629,probe_b13fb1e784191ba706c55fd26556f1eadfc82c4f27595dfd16e6652d088af5c0
NM_001001946.4:96-1229,probe_b1cd20c34cb4c41780046ff6ce7d2e1aea05cfd40f64973f731ae62b0a162cc4
XM_005165229.4:554-8068,probe_fbadd32edccd7ed18b68c982675fde10c3da16e8c6e1b04560d9125d1667f321
XM_005165231.4:554-8065,probe_fbadd32edccd7ed18b68c982675fde10c3da16e8c6e1b04560d9125d1667f321
XM_005165230.4:554-8065,probe_fbadd32edccd7ed18b68c982675fde10c3da16e8c6e1b04560d9125d1667f321
NM_131328.1:70-2250,probe_d284cef4224415849dce08ee32e483e8c73c7f8fed91607bb51f7a041357a238
NM_194368.1:1-1365,probe_f49ad40d5a3a0596436bfd25a140f228febfb16e0d80499b50656d37327108d6
XM_021469748.1:170-1582,probe_f49ad40d5a3a0596436bfd25a140f228febfb16e0d80499b50656d37327108d6
XM_009296811.3:471-1754,probe_f49ad40d5a3a0596436bfd25a140f228febfb16e0d80499b50656d37327108d6
XM_021469747.1:35-1342,probe_f49ad40d5a3a0596436bfd25a140f228febfb16e0d80499b50656d37327108d6
XM_021469746.1:39-1361,probe_f49ad40d5a3a0596436bfd25a140f228febfb16e0d80499b50656d37327108d6
XM_021469749.1:269-1609,probe_f49ad40d5a3a0596436bfd25a140f228febfb16e0d80499b50656d37327108d6
NM_182889.1:42-1802,probe_bfdcc004c751edd77640368d6c2f17293ec193043a2bbfd30fd14f68c31c1568
XM_005172511.4:175-1932,probe_bfdcc004c751edd77640368d6c2f17293ec193043a2bbfd30fd14f68c31c1568
NM_131802.1:26-3289,probe_f9a08ab1ef616cba4cdc8e3387606ff42a5250457c52466dd9037638419280d9
NM_203460.1:169-1299,probe_e9354649d37a0695f5b8bc800ad64a48c5b10b25b3158180b5381c7a8edb7530
XM_021480549.1:291-1421,probe_e9354649d37a0695f5b8bc800ad64a48c5b10b25b3158180b5381c7a8edb7530
NM_131310.3:128-2305,probe_fe8546a60f1872e0213522cbcd211cc3c911413fc9e0387e5455bb660a96eae3
NM_001002369.1:116-1087,probe_3248f03addff3ba3c8e40b965426757c642f92fbc6fb40466e5529e67e8f3a03
NM_001128690.1:76-2034,probe_ef8ae7620499ba11ecd28ea015559591c5c20774911331872d93a3ffee681e4c
NM_001139482.1:1-906,probe_f8558fc3b115955f95481967a6f0c5dad0540b2e65e397f98a01c80bd15875c1
NM_001139481.3:135-1040,probe_f8558fc3b115955f95481967a6f0c5dad0540b2e65e397f98a01c80bd15875c1
XM_017357538.2:119-1024,probe_f8558fc3b115955f95481967a6f0c5dad0540b2e65e397f98a01c80bd15875c1
NM_001423667.1:138-1181,probe_f8558fc3b115955f95481967a6f0c5dad0540b2e65e397f98a01c80bd15875c1
XM_009304246.3:413-1456,probe_f8558fc3b115955f95481967a6f0c5dad0540b2e65e397f98a01c80bd15875c1
XM_009304247.3:392-1078,probe_f8558fc3b115955f95481967a6f0c5dad0540b2e65e397f98a01c80bd15875c1
NM_183348.2:235-1140,probe_f8558fc3b115955f95481967a6f0c5dad0540b2e65e397f98a01c80bd15875c1
XM_005172465.2:377-1282,probe_f8558fc3b115955f95481967a6f0c5dad0540b2e65e397f98a01c80bd15875c1
NM_001045264.1:179-1996,probe_c095445b02d9879f6e7e2311303b830a24471c3b214e3d090d3f031da42cce98
XM_009296811.3:471-1754,probe_d8fb234a8d29191a5a044c48cbe9eb06e999983ed7c0c0539883c0cce6095086
XM_021469747.1:35-1342,probe_d8fb234a8d29191a5a044c48cbe9eb06e999983ed7c0c0539883c0cce6095086
NM_194368.1:1-1365,probe_d8fb234a8d29191a5a044c48cbe9eb06e999983ed7c0c0539883c0cce6095086
XM_021469748.1:170-1582,probe_d8fb234a8d29191a5a044c48cbe9eb06e999983ed7c0c0539883c0cce6095086
XM_021469746.1:39-1361,probe_d8fb234a8d29191a5a044c48cbe9eb06e999983ed7c0c0539883c0cce6095086
XM_021469749.1:269-1609,probe_d8fb234a8d29191a5a044c48cbe9eb06e999983ed7c0c0539883c0cce6095086
XM_021468041.1:155-2785,probe_f8a9a72281341b8ffff96e4265bf07d5f786b0a6f70c3cc87581b73ef39b9de4
NM_213186.1:123-2756,probe_f8a9a72281341b8ffff96e4265bf07d5f786b0a6f70c3cc87581b73ef39b9de4
XM_021468042.1:155-2728,probe_f8a9a72281341b8ffff96e4265bf07d5f786b0a6f70c3cc87581b73ef39b9de4
NM_200364.1:214-924,probe_fbd9c012cb709d81d584ea5682ea98c04e8ac17d4447226f8f36841913f14608
XM_005167148.4:1646-2569,probe_fbd9c012cb709d81d584ea5682ea98c04e8ac17d4447226f8f36841913f14608
NM_001003736.1:33-1565,probe_de869f6003ad77afe330a9253ff495d236f90662b8ae238fce033d61df10177c
NM_001110288.1:34-1578,probe_de869f6003ad77afe330a9253ff495d236f90662b8ae238fce033d61df10177c
NM_001004587.2:39-1574,probe_de869f6003ad77afe330a9253ff495d236f90662b8ae238fce033d61df10177c
XM_005157541.4:139-1722,probe_8e448bdde32864a893a1e19ed5a928acfe0fd2671d3bfb0063482a1a48df1f1f
XM_001335943.7:269-1738,probe_8e448bdde32864a893a1e19ed5a928acfe0fd2671d3bfb0063482a1a48df1f1f
XM_009291620.3:128-1594,probe_8e448bdde32864a893a1e19ed5a928acfe0fd2671d3bfb0063482a1a48df1f1f
NM_212649.1:66-1532,probe_8e448bdde32864a893a1e19ed5a928acfe0fd2671d3bfb0063482a1a48df1f1f
XM_017359216.2:84-1550,probe_8e448bdde32864a893a1e19ed5a928acfe0fd2671d3bfb0063482a1a48df1f1f
XM_021473120.1:239-1813,probe_f657246ba0bc0953070af39e868d4f9828e929f74600ed9f6762bb1cb13477c3
XM_001337228.7:234-1874,probe_f657246ba0bc0953070af39e868d4f9828e929f74600ed9f6762bb1cb13477c3
NM_001077535.1:123-1703,probe_85c417b5a97c437e3f0ea380dc6780fccb77d295c97abefe8ec3b956496f56b7
NM_001177342.1:6-1592,probe_ff7295378c22929b7cc41818cbe62d3d0883695087513b68c645d5446f8d7836
NM_001172768.2:1-1602,probe_ff7295378c22929b7cc41818cbe62d3d0883695087513b68c645d5446f8d7836
NM_001177336.1:25-1620,probe_ff7295378c22929b7cc41818cbe62d3d0883695087513b68c645d5446f8d7836
NM_001177346.1:26-1633,probe_ff7295378c22929b7cc41818cbe62d3d0883695087513b68c645d5446f8d7836
NM_001172769.1:7-1635,probe_ff7295378c22929b7cc41818cbe62d3d0883695087513b68c645d5446f8d7836
NM_001177446.1:33-1619,probe_ff7295378c22929b7cc41818cbe62d3d0883695087513b68c645d5446f8d7836
XM_001337307.6:209-1879,probe_d3e4f0cbb2dc4bead191e8bd8cbbcd00d08168f613d68a7ddd45e68b6e7e96a3
XM_021473119.1:134-1804,probe_d3e4f0cbb2dc4bead191e8bd8cbbcd00d08168f613d68a7ddd45e68b6e7e96a3
NM_001386297.1:389-1513,probe_f9fb0ea56357a28f66917b31b3bfe67774294b68e5f6af78a284107ad2e8ed20
XM_689112.7:389-1513,probe_f9fb0ea56357a28f66917b31b3bfe67774294b68e5f6af78a284107ad2e8ed20
XM_021472158.1:218-1153,probe_f9fb0ea56357a28f66917b31b3bfe67774294b68e5f6af78a284107ad2e8ed20
XM_002666958.6:230-2086,probe_d0adc7f1a9188363caed6c0c0eca428bb2baf0b8702a777a70888d3877b1c4fa
NM_199277.2:299-2194,probe_f9d14ac900776257967814bc0fbc15eba3901d17714b58df1c8b75a1d068073f
NM_001079993.1:277-1446,probe_f0db9b01b816742f8e136062df690e83f191d66c282b3863bc4dcc3580a8921e
XM_009304472.3:347-1264,probe_f0db9b01b816742f8e136062df690e83f191d66c282b3863bc4dcc3580a8921e
NM_001198772.1:59-2770,probe_90ed748032c8e220c1b12cc55767bed056d02d9321721bb79ce6e52195205861
NM_001278842.1:1-2394,probe_66bbf1060d2ba1d7452af90a6488dc8b812b6cad46124ffcb2111847f6ab2b3f
XM_005156246.4:495-2660,probe_66bbf1060d2ba1d7452af90a6488dc8b812b6cad46124ffcb2111847f6ab2b3f
XM_017358462.2:497-2890,probe_66bbf1060d2ba1d7452af90a6488dc8b812b6cad46124ffcb2111847f6ab2b3f
NM_001024816.2:468-3290,probe_fd39c66ae182339ff4fef5b6eb0afda20bddd640468b36f1ddad48cd39d9c0a9
XM_685413.8:250-2730,probe_aea087b40f6720c43b685f8d76b888d0a534c62733b2ea5a0746b616bf3d8e83
NM_001012371.2:88-2079,probe_f88bf356a6bd1651aebae8751c76868776ec299b6a2ee09e408695db913b77a9
XM_021468817.1:502-2292,probe_f88bf356a6bd1651aebae8751c76868776ec299b6a2ee09e408695db913b77a9
XM_005161350.4:425-2416,probe_f88bf356a6bd1651aebae8751c76868776ec299b6a2ee09e408695db913b77a9
XM_005159501.4:1-1467,probe_f6aa3601cdb5e5f5b0c8cb366eb6658677fb2ec4ae0d0cf44e29d10484f716d4
NM_131340.1:366-1526,probe_f6aa3601cdb5e5f5b0c8cb366eb6658677fb2ec4ae0d0cf44e29d10484f716d4
XM_009294157.3:840-1562,probe_f6aa3601cdb5e5f5b0c8cb366eb6658677fb2ec4ae0d0cf44e29d10484f716d4
XM_021467984.1:199-1725,probe_f6aa3601cdb5e5f5b0c8cb366eb6658677fb2ec4ae0d0cf44e29d10484f716d4
