target name,length,GC,probe count,mean depth,proportion covered,coverage std dev
NM_001045298.1,1476,0.439,43,2.245,0.972,0.94
XM_009293954.3,1572,0.536,38,1.924,0.971,0.743
NM_001313736.1,1494,0.535,36,1.918,0.969,0.76
NM_001045321.1,2802,0.528,72,2.056,0.987,0.637
NM_001002345.1,1359,0.525,39,2.263,0.979,0.767
XM_005160666.4,1398,0.529,40,2.243,0.969,0.81
XM_005164203.4,474,0.589,12,2.021,0.979,0.737
NM_001002044.2,465,0.587,12,2.049,0.987,0.712
NM_001172769.1,1629,0.492,42,2.039,0.969,0.729
NM_001044309.2,1242,0.436,31,1.954,0.981,0.726
NM_001328515.1,1491,0.442,38,1.983,0.981,0.75
NM_001029951.2,1665,0.527,36,1.73,0.959,0.718
XM_005156401.4,5022,0.486,137,2.175,0.987,0.703
NM_001099246.2,4965,0.49,136,2.185,0.99,0.69
NM_001089479.1,1317,0.506,33,2.005,0.997,0.595
NM_200044.1,1638,0.493,34,1.661,0.955,0.718
NM_001077535.1,1581,0.472,39,1.973,0.979,0.695
XM_005169486.4,423,0.47,11,2.012,0.927,0.9
XM_021480169.1,423,0.47,11,2.012,0.927,0.9
NM_001327912.1,411,0.491,11,2.071,0.934,0.911
NM_001354174.1,423,0.47,11,2.012,0.927,0.9
NM_001354172.1,423,0.47,11,2.012,0.927,0.9
NM_131294.1,465,0.499,11,1.892,0.94,0.771
XM_001922682.7,4017,0.488,89,1.767,0.986,0.642
NM_001089425.1,783,0.508,16,1.635,0.95,0.753
XM_005156539.4,2028,0.487,48,1.892,0.943,0.742
XM_005156538.4,2031,0.487,50,1.966,0.949,0.729
NM_001114569.2,2055,0.488,51,1.984,0.958,0.711
XM_005173768.4,1896,0.493,46,1.941,0.998,0.63
NM_213231.1,1896,0.493,46,1.941,0.998,0.63
XM_021478587.1,1998,0.534,46,1.832,0.985,0.674
XM_021478588.1,1998,0.534,46,1.832,0.985,0.674
XM_021478589.1,1986,0.534,46,1.843,0.991,0.661
XM_021478590.1,1983,0.534,46,1.846,0.992,0.657
NM_001089475.1,1596,0.525,37,1.827,0.997,0.699
NM_213058.1,1953,0.541,43,1.761,0.986,0.601
XM_009303928.3,1554,0.519,35,1.802,0.94,0.733
XM_009303927.3,1554,0.519,35,1.802,0.94,0.733
XM_005166987.4,1554,0.519,35,1.802,0.94,0.733
NM_131468.2,1554,0.519,35,1.802,0.94,0.733
XM_017353990.2,3063,0.482,71,1.854,0.967,0.736
XM_017353992.2,2979,0.484,69,1.852,0.968,0.743
XM_017353993.2,2430,0.497,55,1.81,0.96,0.781
XM_021473785.1,3063,0.482,71,1.854,0.967,0.736
XM_021473786.1,2979,0.484,69,1.852,0.968,0.743
XM_021473787.1,2430,0.497,55,1.81,0.96,0.781
XM_021474556.1,2430,0.495,55,1.805,0.958,0.787
XM_021474555.1,2430,0.495,55,1.805,0.958,0.787
XM_021467236.1,1614,0.47,36,1.784,0.973,0.644
NM_001328691.1,1491,0.441,38,1.993,0.978,0.737
NM_182864.2,1806,0.532,40,1.772,0.982,0.644
NM_001316714.1,3828,0.485,97,2.021,0.982,0.666
NM_001114583.2,1953,0.462,48,1.955,0.95,0.767
NM_001013460.3,753,0.513,17,1.806,0.968,0.776
NM_001037420.1,1470,0.421,37,1.973,0.99,0.694
XM_001921058.7,1356,0.57,28,1.652,0.95,0.731
XM_021480878.1,1443,0.476,31,1.719,0.984,0.587
XM_005173023.4,1437,0.477,31,1.726,0.988,0.578
XM_686732.7,1521,0.509,38,1.999,0.986,0.596
NM_001386362.1,1521,0.509,38,1.999,0.986,0.596
XM_021469266.1,1041,0.571,27,2.066,0.981,0.703
XM_021469265.1,1467,0.562,32,1.718,0.866,0.924
XM_021469264.1,1650,0.562,35,1.675,0.866,0.898
NM_001139482.1,906,0.422,29,2.415,0.975,0.919
NM_199662.1,1197,0.49,25,1.671,0.966,0.666
NM_001007356.1,1494,0.44,34,1.821,0.965,0.677
XM_005166521.4,1491,0.436,37,1.935,0.979,0.833
XM_021472023.1,1491,0.435,39,2.023,0.975,0.918
XM_021474139.1,1491,0.434,39,2.031,0.977,0.914
NM_001172770.2,1563,0.452,38,1.877,0.948,0.85
XM_021467019.1,6984,0.492,164,1.876,0.958,0.762
XM_005163328.3,6918,0.493,162,1.873,0.958,0.765
NM_001037385.1,1203,0.476,32,2.128,0.987,0.655
NM_131146.2,1479,0.479,32,1.731,0.924,0.78
XM_009297698.3,1380,0.542,29,1.668,0.952,0.721
NM_001102567.1,1380,0.542,29,1.667,0.951,0.724
XM_005156523.4,1923,0.493,53,2.202,0.995,0.658
XM_009307089.3,1905,0.493,53,2.217,0.999,0.64
NM_001039639.2,1905,0.492,53,2.209,0.996,0.653
NM_001077247.1,951,0.481,21,1.767,0.951,0.674
XM_021470707.1,1755,0.462,41,1.869,0.986,0.592
XM_005156809.4,1560,0.492,38,1.949,0.951,0.773
NM_212806.3,1560,0.492,38,1.949,0.951,0.773
NM_001102648.2,672,0.496,17,1.979,0.94,0.809
NM_200521.1,729,0.488,17,1.866,0.995,0.69
NM_001082875.1,900,0.437,30,2.556,0.97,1.009
NM_001005292.2,771,0.519,18,1.868,0.929,0.733
XM_005160877.2,453,0.492,8,1.406,0.898,0.705
NM_213427.1,453,0.488,8,1.408,0.901,0.702
NM_001002187.1,1356,0.436,43,2.406,0.965,0.986
NM_001308558.1,1641,0.552,42,2.048,0.99,0.644
NM_001040345.1,1596,0.438,48,2.329,0.984,0.956
XM_005156494.4,1731,0.521,41,1.894,0.984,0.682
NM_201129.1,1731,0.521,41,1.893,0.983,0.684
NM_213051.2,1800,0.508,42,1.867,0.953,0.754
XM_021469790.1,1500,0.445,42,2.147,0.954,1.174
NM_001006080.1,1251,0.453,37,2.249,0.983,0.98
NM_001128714.1,1596,0.411,46,2.231,0.98,0.788
NM_001177339.2,1563,0.447,42,2.053,0.968,0.887
XM_005164252.4,639,0.538,17,2.05,0.958,0.819
XM_021470157.1,705,0.528,17,1.929,0.948,0.75
NM_001002045.3,489,0.53,12,1.896,0.945,0.764
XM_005164021.4,2385,0.528,62,2.078,0.952,0.839
NM_001079954.2,2388,0.528,60,2.01,0.943,0.863
NM_001098732.1,465,0.439,9,1.548,0.955,0.638
NM_131802.1,3264,0.493,79,1.936,0.977,0.737
NM_199277.2,1896,0.506,39,1.646,0.973,0.575
XM_009306720.3,1260,0.532,32,1.988,0.954,0.768
XM_001920978.7,1230,0.535,32,2.022,0.963,0.742
XM_009306721.3,1260,0.532,32,1.988,0.954,0.768
XM_009306722.3,1236,0.532,31,1.984,0.966,0.761
NM_001257183.1,1524,0.477,31,1.627,0.971,0.662
XM_005165230.4,7512,0.507,197,2.098,0.981,0.726
XM_005165231.4,7512,0.507,197,2.098,0.979,0.73
XM_005165229.4,7515,0.507,196,2.086,0.975,0.744
NM_001039828.1,2160,0.459,48,1.778,0.972,0.663
XM_005156052.4,1344,0.543,38,2.244,0.985,0.696
NM_131406.2,1335,0.534,37,2.207,0.975,0.742
NM_001348086.1,2070,0.505,45,1.739,0.949,0.734
XM_021474933.1,2070,0.505,45,1.739,0.949,0.734
NM_001083310.1,1470,0.546,35,1.905,0.977,0.619
NM_198369.2,1491,0.451,43,2.19,0.937,1.097
XM_693936.8,1515,0.477,35,1.848,0.972,0.663
XM_009297055.3,1620,0.522,40,1.969,0.964,0.796
XM_005163231.4,1557,0.525,39,1.997,0.965,0.791
NM_201508.1,1557,0.527,39,1.98,0.959,0.806
NM_001089583.2,1428,0.515,34,1.905,0.98,0.7
XM_021466616.1,1269,0.526,28,1.765,0.949,0.727
NM_131238.1,1269,0.526,28,1.76,0.946,0.732
XM_021466617.1,1269,0.526,28,1.765,0.949,0.727
NM_001004540.1,1464,0.502,37,2.022,0.975,0.689
NM_001077548.1,1524,0.421,45,2.314,0.978,0.927
XM_021474923.1,1440,0.525,35,1.93,0.971,0.767
NM_001145564.1,1602,0.521,41,2.014,0.974,0.782
NM_001177346.1,1608,0.47,46,2.216,0.977,0.814
NM_001177496.1,1599,0.44,35,1.751,0.982,0.634
XM_021473358.1,882,0.503,19,1.723,0.934,0.771
NM_205584.2,882,0.503,19,1.723,0.934,0.771
NM_001099427.1,618,0.492,11,1.424,0.854,0.815
NM_213493.1,1239,0.496,31,1.992,0.962,0.808
NM_001080619.1,873,0.591,17,1.558,0.872,0.81
XM_001337228.7,1641,0.453,42,2.002,0.991,0.685
XM_021473120.1,1575,0.457,42,2.063,0.994,0.765
NM_131630.1,1509,0.504,36,1.909,0.97,0.728
XM_005171396.4,1146,0.504,23,1.606,0.928,0.712
NM_001353347.1,1146,0.504,23,1.606,0.928,0.712
NM_200671.1,2544,0.504,57,1.792,0.959,0.768
XM_009304603.3,2580,0.503,58,1.791,0.97,0.75
XM_005167547.4,2544,0.504,57,1.792,0.959,0.768
XM_005167546.4,2676,0.5,59,1.763,0.967,0.756
NM_001005306.3,1170,0.51,28,1.915,0.968,0.682
XM_005160290.4,2556,0.515,59,1.847,0.951,0.776
NM_001145693.1,2403,0.515,56,1.864,0.954,0.77
NM_201158.1,1671,0.512,45,2.154,0.979,0.683
NM_001113659.1,528,0.504,13,1.909,0.93,0.969
NM_001025488.1,1698,0.467,43,2.026,0.995,0.606
NM_212797.1,1125,0.53,22,1.564,0.961,0.606
XM_009294893.3,1197,0.49,34,2.236,0.969,0.798
NM_001045020.1,1011,0.5,29,2.266,0.987,0.714
NM_001135684.3,1767,0.46,52,2.277,0.959,0.948
NM_001320529.1,1737,0.514,43,1.98,0.969,0.652
NM_001126434.1,2370,0.477,56,1.89,0.978,0.681
XM_005171916.4,1686,0.482,41,1.929,1,0.625
NM_001089458.1,1518,0.533,37,1.95,0.988,0.639
XM_005166047.4,1269,0.525,30,1.86,0.974,0.652
NM_001159985.1,1269,0.525,30,1.86,0.974,0.652
